
Product,Price,Location,Price
Dijual Apartemen Springhill Terrace Kemayoran,Rp 2.000.000.000,"Kemayoran, Jakarta Pusat",3 KT - 2 KM - 99 m2
Apartment The Newton 1 Kuningan Setiabudi Ciputra World Tokopedia,Rp 1.600.000.000,"Setia Budi, Jakarta Selatan",1 KT - 1 KM - 25 m2
Rumah Mewah Modren Harga Murah di Taman Sari Jakarta Barat,Rp 528.000.000,"Taman Sari, Jakarta Barat",2 KT - 2 KM - 42 m2
Rumah Asri di Marunda Baru Jakarta Utara,Rp 1.030.000.000,"Tanjung Priok, Jakarta Utara",3 KT - 2 KM - 65 m2
Disewakan Apartemen Murah Cuma 2 Jutaan Tower Grand Emerald,Rp 2.000.000,"Kelapa Gading, Jakarta Utara",1 KT - 1 KM - 21 m2
DIJUAL RUMAH STANDART KELAPA GADING,Rp 6.000.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 4 KM - 352 m2
DIJUAL RUMAH KELAPA GADING (BUKIT GADING VILLA),Rp 27.000.000.000,"Kelapa Gading, Jakarta Utara",5 KT - 4 KM - 612 m2
Park Royale Apartment 1 BR,Rp 9.000.000,"Menteng, Jakarta Pusat",1 KT - 1 KM - 63 m2
DIJUAL RUMAH KELAPA GADING (JANUR ELOK),Rp 7.200.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 3 KM - 330 m2
Dijual rumah Murah 2 lantai bonus isi nya,Rp 310.000.000,"Mampang Prapatan, Jakarta Selatan",3 KT - 1 KM - 70 m2
DIJUAL RUMAH KELAPA GADING (SPORT MALL ),Rp 7.500.000.000,"Kelapa Gading, Jakarta Utara",3 KT - 3 KM - 350 m2
DIJUAL RUMAH KELAPA GADING,Rp 13.000.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 4 KM - 700 m2
Cuma 2 Menit ke St. Tenjo DP 3 juta Free Biaya2 Lain,Rp 235.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 42 m2
Dijual Apartemen Verde Two Brand New Unit 2 Bedroom Lokasi Strategis,Rp 9.350.000.000,"Setia Budi, Jakarta Selatan",2 KT - 2 KM - 187 m2
Dijual Rumah Ciracas,Rp 2.000.000.000,"Ciracas, Jakarta Timur",3 KT - 4 KM - 100 m2
Disewakan Apartemen Studio Full Furnished Tower Emerald,Rp 2.000.000,"Kelapa Gading, Jakarta Utara",1 KT - 1 KM - 24 m2
DIJUAL RUMAH SIAP HUNI SUNTER METRO,Rp 3.500.000.000,"Tanjung Priok, Jakarta Utara",3 KT - 3 KM - 200 m2
DIJUAL RUMAH KELAPA GADING,Rp 5.500.000.000,"Kelapa Gading, Jakarta Utara",4 KT - 3 KM - 216 m2
Gebyar Merdeka Cluster Syariah Dekat Stasiun Bojonggede,Rp 335.000.000,"Kebayoran Lama, Jakarta Selatan",2 KT - 1 KM - 36 m2
DIJUAL RUMAH (GADING GRIYA) KELAPA GADING,Rp 3.000.000.000,"Kelapa Gading, Jakarta Utara",3 KT - 3 KM - 180 m2
Disewakan Murah The Aspen Apartement,Rp 8.000.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 48 m2
Sewa  bulanan / Harian/ mingguan Apartment Kebagusan city 2 BR,Rp 300.000,"Pasar Minggu, Jakarta Selatan",2 KT - 1 KM - 38 m2
Rumah baru Di Jagakarsa Dalam komplek,Rp 1.950.000.000,"Jagakarsa, Jakarta Selatan",4 KT - 4 KM - 150 m2
"Dijual Rumah Siap Huni Perumahan Green Garden, Jakarta Barat",Rp 3.100.000.000,"Kebon Jeruk, Jakarta Barat",3 KT - 3 KM - 153 m2
Cluster mewah murah 700 jutaan samping kota Wisata,Rp 751.500.000,"Tebet, Jakarta Selatan",3 KT - 2 KM - 65 m2
Shilla Sawangan Premium Water Front Living European Style Concept,Rp 1.600.000.001,"Cilandak, Jakarta Selatan",3 KT - 2 KM - 79 m2
"Rumah Siap Huni View Tol DESARI, 1O Menit Ke Cilandak Jakarta Selatan",Rp 647.000.000,"Jagakarsa, Jakarta Selatan",2 KT - 2 KM - 38 m2
Cluster mewah murah 700 jutaan samping kota Wisata,Rp 751.500.000,"Cipayung, Jakarta Timur",3 KT - 2 KM - 65 m2
(OLXNL-757) CEPAT !! RUMAH MINIMALIS FURNISHED di Janur Elok Residence,Rp 10.000.000.000,"Kelapa Gading, Jakarta Utara",5 KT - 5 KM - 350 m2
Rumah mewah murah 700 jutaan samping kota Wisata,Rp 751.500.000,"Pasar Rebo, Jakarta Timur",3 KT - 2 KM - 65 m2
rumah 2 lantai bogor kota(grand alifia),Rp 530.000.000,"Cakung, Jakarta Timur",3 KT - 2 KM - 60 m2
dijual rumah pik 2 tahap 2,Rp 2.000.000.000,"Tanjung Priok, Jakarta Utara",3 KT - 2 KM - 60 m2
Rumah mewah murah 700 jutaan samping kota Wisata,Rp 751.500.000,"Makasar, Jakarta Timur",3 KT - 2 KM - 65 m2
Rumah megah tanah Luas di lubang buaya jakarta timur,Rp 16.000.000.000,"Cipayung, Jakarta Timur",7 KT - 6 KM - 900 m2
Disewakan 2br furnish Gold coast pik apartemen,Rp 85.000.000,"Kalideres, Jakarta Barat",2 KT - 1 KM - 58 m2
Rumah siap huni luas 8x15 Type 3KT Taman Pulogebang Jakarta Timur,Rp 1.700.000.000,"Cakung, Jakarta Timur",3 KT - 2 KM - 120 m2
Rumah mewah murah 700 jutaan samping kota Wisata,Rp 751.500.000,"Cakung, Jakarta Timur",3 KT - 2 KM - 65 m2
Disewakan Rumah Lokasi Bagus dan Rapi di Tebet Timur,Rp 130.000.000,"Tebet, Jakarta Selatan",4 KT - 3 KM - 240 m2
Dijual Rumah Di Kayu manis Timur Matraman Salemba Cocok Rumah Kosan,Rp 2.500.000.000,"Matraman, Jakarta Timur",3 KT - 2 KM - 150 m2
Disewakan Apartemen Gading Icon Furnished,Rp 7.100.000,"Pulo Gadung, Jakarta Timur",2 KT - 1 KM - 36 m2
Rumah Minimalis Strategis Dekat Cibubur Siap Huni DP Ringan Bisa KPR,Rp 700.000.000,"Ciracas, Jakarta Timur",2 KT - 2 KM - 105 m2
Dijual Rumah Hook Siap Huni di Kavling DKI Meruya (Bebas Banjir).,Rp 10.000.000.000,"Kembangan, Jakarta Barat",4 KT - 5 KM - 400 m2
Disewakan apartemen Puri Parkview Apartment,Rp 27.000.000,"Gambir, Jakarta Pusat",2 KT - 1 KM - 36 m2
grand alifia bogor kota rumah 2 lantai,Rp 630.000.000,"Tebet, Jakarta Selatan",4 KT - 2 KM - 72 m2
dijual/disewakan apartemen Gading nias Full Furnish. Pemilik langsung,Rp 18.000.000,"Kelapa Gading, Jakarta Utara",2 KT - 1 KM - 32 m2
Rumah mewah murah 700 jutaan samping kota Wisata,Rp 751.500.000,"Kramat Jati, Jakarta Timur",3 KT - 2 KM - 65 m2
Dijual Rumah Cantik Minimalis On progres Bangun,Rp 1.250.000.000,"Jagakarsa, Jakarta Selatan",3 KT - 3 KM - 130 m2
"Dijual Apartemen Verde Two 2 Bedroom Full Furnished, Fasilitas Lengkap",Rp 8.900.000.000,"Setia Budi, Jakarta Selatan",2 KT - 2 KM - 177 m2
Disewakan Apartemen Kosongan 2 Br Grand Emerald,Rp 1.750.000,"Kelapa Gading, Jakarta Utara",2 KT - 1 KM - 35 m2
grand alifia bogor kota rumah 2 lantai,Rp 630.000.000,"Setia Budi, Jakarta Selatan",4 KT - 2 KM - 72 m2
DiJual Rumah Sudah Siap Huni,Rp 1.900.000.000,"Jatinegara, Jakarta Timur",4 KT - 2 KM - 120 m2
Rumah Siap Huni Golf Island PIK Cluster Piano uk 6x15 Lokasi Bagus!,Rp 3.300.000.000,"Penjaringan, Jakarta Utara",3 KT - 2 KM - 120 m2
Rumah mewah cantik,Rp 14.000.000.000,"Cilandak, Jakarta Selatan",7 KT - 7 KM - 550 m2
Rumah mewah murah 700 jutaan samping kota Wisata,Rp 751.500.000,"Duren Sawit, Jakarta Timur",3 KT - 2 KM - 65 m2
Promo DP0% International Class Springhill Yume Lagoon Serpong,Rp 900.000.004,"Cengkareng, Jakarta Barat",3 KT - 2 KM - 72 m2
Dijual Rumah Di Kayu manis Timur Matraman Salemba Cocok Rumah Kosan,Rp 2.500.000.000,"Matraman, Jakarta Timur",3 KT - 2 KM - 150 m2
Di sewakan apartemen greenbay pluit,Rp 35.000.000,"Penjaringan, Jakarta Utara",2 KT - 1 KM - 37 m2
grand alifia bogor kota 2 lantai,Rp 630.000.000,"Pesanggrahan, Jakarta Selatan",4 KT - 2 KM - 72 m2
Dijual Apartemen Aspen Residence Full Furnished Harga Dibawah Pasaran,Rp 1.100.000.000,"Cilandak, Jakarta Selatan",2 KT - 1 KM - 48 m2
Hunian 2 lantai dengan harga terjangkau,Rp 380.000.000,"Matraman, Jakarta Timur",2 KT - 1 KM - 37 m2
DIJUAL RUMAH DAN KIOS HANYA HITUNG TANAH,Rp 4.599.000.000,"Pancoran, Jakarta Selatan",3 KT - 2 KM - 100 m2
Rumah di jual 2 lantai di dekat mall sunter akses mobil,Rp 652.000.000,"Tanjung Priok, Jakarta Utara",2 KT - 2 KM - 64 m2
Hot dan Banyak di Cari: Promo DP 3 Jt All In Siap Huni,Rp 235.000.000,"Kebayoran Baru, Jakarta Selatan",2 KT - 1 KM - 42 m2
"Jual 2 BR semi, harga rebahan, geranium, bassura @basura",Rp 425.000.000,"Jatinegara, Jakarta Timur",2 KT - 1 KM - 34 m2
Dijual Rumah Di Kayu manis Timur Matraman Salemba Cocok Rumah Kosan,Rp 2.500.000.000,"Matraman, Jakarta Timur",3 KT - 2 KM - 150 m2
KAISAR CISEENG 2 lT HUNIAN MILENIAL,Rp 395.000.000,"Jagakarsa, Jakarta Selatan",2 KT - 1 KM - 36 m2
